Thông tin chỉ tiêu tuyển sinh dự kiến theo từng ngành và theo từng phương thức năm 2025 tại các cơ sỏ của trường Đại học Ngoại Thương

- Mã trường: NTH (Trường Đại học Ngoại thương - Cơ sở phía Bắc);
- NTS (Trường Đại học Ngoại thương - Cơ sở II-TP. Hồ Chí Minh)

| Stt                         | Trình độ đào tạo            | Mã chương trình/ ngành xét tuyển   | Tên chương trình/ ngành xét tuyển                                                                                  | Chỉ tiêu (dự kiến)   | Tổ hợp xét tuyển 1   | Tổ hợp xét tuyển 1   | Tổ hợp xét tuyển 2   | Tổ hợp xét tuyển 2   | Tổ hợp xét tuyển 3   | Tổ hợp xét tuyển 3              | Tổ hợp xét tuyển 4   | Tổ hợp xét tuyển 4   | Áp dụng cho nhóm đối tượng tuyển sinh                                                                                                                                                                                                                                                                                                                                                                                     |
|-----------------------------|-----------------------------|------------------------------------|--------------------------------------------------------------------------------------------------------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|---------------------------------|----------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Stt                         | Trình độ đào tạo            | Mã chương trình/ ngành xét tuyển   | Tên chương trình/ ngành xét tuyển                                                                                  | Chỉ tiêu (dự kiến)   | Tổ hợp môn           | Môn chính            | Tổ hợp môn           | Môn chính            | Tổ hợp môn           | Môn chính                       | Tổ hợp môn           | Môn chính            | Áp dụng cho nhóm đối tượng tuyển sinh                                                                                                                                                                                                                                                                                                                                                                                     |
| I. Trụ sở chính Hà Nội      | I. Trụ sở chính Hà Nội      | I. Trụ sở chính Hà Nội             | I. Trụ sở chính Hà Nội                                                                                             |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 10                          | ĐHCQ                        |                                    | Ngành Ngôn ngữ Anh                                                                                                 |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 10.1                        | ĐHCQ                        | NNAH2.1                            | Chương trình CLC Tiếng Anh Thương mại                                                                              | 60                   |                      |                      |                      |                      | D01                  | Tiếng Anh nhân đôi              |                      |                      | -Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường                                                                                                                                  |
| 10.2                        | ĐHCQ                        | NNAH1.1                            | Chương trình tiêu chuẩn Tiếng Anh Thương mại                                                                       | 110                  |                      |                      |                      |                      | D01                  | Tiếng Anh nhân đôi              |                      |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường -Sử dụng kết quả thi ĐGNL trong nước năm 2025 theo quy định của trường -Tuyển thẳng theo quy định                                                                                                                                                                                         |
| 11                          | ĐHCQ                        |                                    | Ngành Ngôn ngữ Pháp                                                                                                |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 11.1                        | ĐHCQ                        | NNPH2.1                            | Chương trình CLC Tiếng Pháp thương mại                                                                             | 30                   |                      |                      |                      |                      | D03                  | Tiếng Pháp nhân đôi             |                      |                      | -Kết hợp kết quả học tập THPT và bằng tiếng Pháp theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và bằng tiếng Pháp theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và bằng tiếng Pháp theo quy định của trường                                                                                                                                                                       |
| 11.2                        | ĐHCQ                        | NNPH1.1                            | Chương trình tiêu chuẩn Tiếng Pháp thương mại                                                                      | 60                   |                      |                      |                      |                      | D01;D03              | Tiếng Pháp, Tiếng Anh nhân đôi  |                      |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường -Sử dụng kết quả thi ĐGNL trong nước năm 2025 theo quy định của trường -Tuyển thẳng theo quy định                                                                                                                                                                                         |
| 12                          | Ngành Ngôn ngữ Trung Quốc   | Ngành Ngôn ngữ Trung Quốc          |                                                                                                                    |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 12.1                        | ĐHCQ                        | NNT H2.1                           | Chương trình CLC Tiếng Trung thương mại                                                                            | 40                   |                      |                      |                      |                      | D04                  | Tiếng Trung nhân đôi            |                      |                      | -Kết hợp kết quả học tập THPT và chứng chỉ HSK  theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và chứng chỉ HSK theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ HKS theo quy định của trường                                                                                                                                                                            |
| 12.2                        | ĐHCQ                        | NNTH1.1                            | Chương trình tiêu chuẩn Tiếng Trung Thương mại                                                                     | 50                   |                      |                      |                      |                      | D01;D04              | Tiếng Trung, Tiếng Anh nhân đôi |                      |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường -Sử dụng kết quả thi ĐGNL trong nước năm 2025 theo quy định của trường -Tuyển thẳng theo quy định                                                                                                                                                                                         |
| 13                          | Ngành Ngôn ngữ Nhật         | Ngành Ngôn ngữ Nhật                |                                                                                                                    |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
